Financial Ratio Edge Case Log
============================================================

ROE | ABB | Dec 2012 | Computed=22.41 | Source=34.90 | Difference=12.49 | Category=DATA_SOURCE_ISSUE
ROE | BHEL | Mar 2020 | Computed=-5.12 | Source=1.05 | Difference=6.17 | Category=DATA_SOURCE_ISSUE
ROE | BHEL | Mar 2021 | Computed=-10.39 | Source=1.05 | Difference=11.44 | Category=DATA_SOURCE_ISSUE
ROCE | BHEL | Mar 2021 | Computed=-8.59 | Source=3.28 | Difference=11.87 | Category=FORMULA_DISCREPANCY
ROCE | BOSCHLTD | Dec 2012 | Computed=29.62 | Source=20.60 | Difference=9.02 | Category=FORMULA_DISCREPANCY
ROCE | BOSCHLTD | Mar 2015 | Computed=33.76 | Source=20.60 | Difference=13.16 | Category=FORMULA_DISCREPANCY
ROCE | BOSCHLTD | Mar 2016 | Computed=26.09 | Source=20.60 | Difference=5.49 | Category=FORMULA_DISCREPANCY
ROCE | BOSCHLTD | Mar 2017 | Computed=32.67 | Source=20.60 | Difference=12.07 | Category=FORMULA_DISCREPANCY
ROCE | BOSCHLTD | Mar 2019 | Computed=30.17 | Source=20.60 | Difference=9.57 | Category=FORMULA_DISCREPANCY
ROE | BOSCHLTD | Mar 2020 | Computed=7.01 | Source=16.00 | Difference=8.99 | Category=DATA_SOURCE_ISSUE
ROCE | BOSCHLTD | Mar 2020 | Computed=14.75 | Source=20.60 | Difference=5.85 | Category=FORMULA_DISCREPANCY
ROE | BOSCHLTD | Mar 2021 | Computed=4.91 | Source=16.00 | Difference=11.09 | Category=DATA_SOURCE_ISSUE
ROCE | BOSCHLTD | Mar 2021 | Computed=9.33 | Source=20.60 | Difference=11.27 | Category=FORMULA_DISCREPANCY
ROCE | BOSCHLTD | Mar 2024 | Computed=30.25 | Source=20.60 | Difference=9.65 | Category=FORMULA_DISCREPANCY
ROE | BPCL | Mar 2013 | Computed=11.54 | Source=41.90 | Difference=30.36 | Category=DATA_SOURCE_ISSUE
ROCE | BPCL | Mar 2013 | Computed=16.42 | Source=32.10 | Difference=15.68 | Category=FORMULA_DISCREPANCY
ROE | BPCL | Mar 2014 | Computed=20.85 | Source=41.90 | Difference=21.05 | Category=DATA_SOURCE_ISSUE
ROCE | BPCL | Mar 2014 | Computed=20.46 | Source=32.10 | Difference=11.64 | Category=FORMULA_DISCREPANCY
ROE | BPCL | Mar 2015 | Computed=22.52 | Source=41.90 | Difference=19.38 | Category=DATA_SOURCE_ISSUE
ROCE | BPCL | Mar 2015 | Computed=24.76 | Source=32.10 | Difference=7.34 | Category=FORMULA_DISCREPANCY
ROE | BPCL | Mar 2016 | Computed=29.10 | Source=41.90 | Difference=12.80 | Category=DATA_SOURCE_ISSUE
ROE | BPCL | Mar 2017 | Computed=30.85 | Source=41.90 | Difference=11.05 | Category=DATA_SOURCE_ISSUE
ROCE | BPCL | Mar 2017 | Computed=24.80 | Source=32.10 | Difference=7.30 | Category=FORMULA_DISCREPANCY
ROE | BPCL | Mar 2018 | Computed=26.74 | Source=41.90 | Difference=15.16 | Category=DATA_SOURCE_ISSUE
ROCE | BPCL | Mar 2018 | Computed=24.56 | Source=32.10 | Difference=7.54 | Category=FORMULA_DISCREPANCY
ROE | BPCL | Mar 2019 | Computed=22.00 | Source=41.90 | Difference=19.90 | Category=DATA_SOURCE_ISSUE
ROCE | BPCL | Mar 2019 | Computed=21.63 | Source=32.10 | Difference=10.47 | Category=FORMULA_DISCREPANCY
ROE | BPCL | Mar 2020 | Computed=10.04 | Source=41.90 | Difference=31.86 | Category=DATA_SOURCE_ISSUE
ROCE | BPCL | Mar 2020 | Computed=10.16 | Source=32.10 | Difference=21.94 | Category=FORMULA_DISCREPANCY
ROE | BPCL | Mar 2021 | Computed=32.34 | Source=41.90 | Difference=9.56 | Category=DATA_SOURCE_ISSUE
ROCE | BPCL | Mar 2021 | Computed=26.36 | Source=32.10 | Difference=5.74 | Category=FORMULA_DISCREPANCY
ROE | BPCL | Mar 2022 | Computed=22.51 | Source=41.90 | Difference=19.39 | Category=DATA_SOURCE_ISSUE
ROCE | BPCL | Mar 2022 | Computed=20.68 | Source=32.10 | Difference=11.42 | Category=FORMULA_DISCREPANCY
ROE | BPCL | Mar 2023 | Computed=3.98 | Source=41.90 | Difference=37.92 | Category=DATA_SOURCE_ISSUE
ROCE | BPCL | Mar 2023 | Computed=10.52 | Source=32.10 | Difference=21.58 | Category=FORMULA_DISCREPANCY
ROE | BPCL | Mar 2024 | Computed=35.51 | Source=41.90 | Difference=6.39 | Category=DATA_SOURCE_ISSUE
ROE | BRITANNIA | Mar 2013 | Computed=46.59 | Source=57.10 | Difference=10.51 | Category=DATA_SOURCE_ISSUE
ROE | BRITANNIA | Mar 2014 | Computed=49.50 | Source=57.10 | Difference=7.60 | Category=DATA_SOURCE_ISSUE
ROCE | BRITANNIA | Mar 2014 | Computed=69.73 | Source=48.90 | Difference=20.83 | Category=FORMULA_DISCREPANCY
ROCE | BRITANNIA | Mar 2015 | Computed=78.99 | Source=48.90 | Difference=30.09 | Category=FORMULA_DISCREPANCY
ROE | BRITANNIA | Mar 2016 | Computed=39.44 | Source=57.10 | Difference=17.66 | Category=DATA_SOURCE_ISSUE
ROCE | BRITANNIA | Mar 2016 | Computed=60.23 | Source=48.90 | Difference=11.33 | Category=FORMULA_DISCREPANCY
ROE | BRITANNIA | Mar 2017 | Computed=32.83 | Source=57.10 | Difference=24.27 | Category=DATA_SOURCE_ISSUE
ROE | BRITANNIA | Mar 2018 | Computed=29.48 | Source=57.10 | Difference=27.62 | Category=DATA_SOURCE_ISSUE
ROE | BRITANNIA | Mar 2019 | Computed=27.16 | Source=57.10 | Difference=29.94 | Category=DATA_SOURCE_ISSUE
ROE | BRITANNIA | Mar 2020 | Computed=31.66 | Source=57.10 | Difference=25.44 | Category=DATA_SOURCE_ISSUE
ROCE | BRITANNIA | Mar 2020 | Computed=35.45 | Source=48.90 | Difference=13.45 | Category=FORMULA_DISCREPANCY
ROE | BRITANNIA | Mar 2023 | Computed=65.53 | Source=57.10 | Difference=8.43 | Category=DATA_SOURCE_ISSUE
ROCE | BRITANNIA | Mar 2024 | Computed=56.24 | Source=48.90 | Difference=7.34 | Category=FORMULA_DISCREPANCY
ROE | CANBK | Mar 2013 | Computed=11.90 | Source=17.90 | Difference=6.00 | Category=DATA_SOURCE_ISSUE
ROE | CANBK | Mar 2014 | Computed=8.85 | Source=17.90 | Difference=9.05 | Category=DATA_SOURCE_ISSUE
ROE | CANBK | Mar 2015 | Computed=9.02 | Source=17.90 | Difference=8.88 | Category=DATA_SOURCE_ISSUE
ROE | CANBK | Mar 2016 | Computed=-7.82 | Source=17.90 | Difference=25.72 | Category=DATA_SOURCE_ISSUE
ROE | CANBK | Mar 2017 | Computed=4.07 | Source=17.90 | Difference=13.83 | Category=DATA_SOURCE_ISSUE
ROE | CANBK | Mar 2018 | Computed=-10.50 | Source=17.90 | Difference=28.40 | Category=DATA_SOURCE_ISSUE
ROE | CANBK | Mar 2019 | Computed=1.85 | Source=17.90 | Difference=16.05 | Category=DATA_SOURCE_ISSUE
ROE | CANBK | Mar 2020 | Computed=-4.66 | Source=17.90 | Difference=22.56 | Category=DATA_SOURCE_ISSUE
ROE | CANBK | Mar 2021 | Computed=4.74 | Source=17.90 | Difference=13.16 | Category=DATA_SOURCE_ISSUE
ROE | CANBK | Mar 2022 | Computed=8.80 | Source=17.90 | Difference=9.10 | Category=DATA_SOURCE_ISSUE
ROE | CHOLAFIN | Mar 2020 | Computed=12.85 | Source=20.20 | Difference=7.35 | Category=DATA_SOURCE_ISSUE
ROCE | CIPLA | Mar 2013 | Computed=61.01 | Source=22.80 | Difference=38.21 | Category=FORMULA_DISCREPANCY
ROCE | CIPLA | Mar 2014 | Computed=71.22 | Source=22.80 | Difference=48.42 | Category=FORMULA_DISCREPANCY
ROE | CIPLA | Mar 2015 | Computed=11.38 | Source=16.80 | Difference=5.42 | Category=DATA_SOURCE_ISSUE
ROCE | CIPLA | Mar 2015 | Computed=73.59 | Source=22.80 | Difference=50.79 | Category=FORMULA_DISCREPANCY
ROCE | CIPLA | Mar 2016 | Computed=67.76 | Source=22.80 | Difference=44.96 | Category=FORMULA_DISCREPANCY
ROE | CIPLA | Mar 2017 | Computed=8.25 | Source=16.80 | Difference=8.55 | Category=DATA_SOURCE_ISSUE
ROCE | CIPLA | Mar 2017 | Computed=71.53 | Source=22.80 | Difference=48.73 | Category=FORMULA_DISCREPANCY
ROE | CIPLA | Mar 2018 | Computed=9.96 | Source=16.80 | Difference=6.84 | Category=DATA_SOURCE_ISSUE
ROCE | CIPLA | Mar 2018 | Computed=67.38 | Source=22.80 | Difference=44.58 | Category=FORMULA_DISCREPANCY
ROE | CIPLA | Mar 2019 | Computed=9.94 | Source=16.80 | Difference=6.86 | Category=DATA_SOURCE_ISSUE
ROCE | CIPLA | Mar 2019 | Computed=68.73 | Source=22.80 | Difference=45.93 | Category=FORMULA_DISCREPANCY
ROE | CIPLA | Mar 2020 | Computed=9.52 | Source=16.80 | Difference=7.28 | Category=DATA_SOURCE_ISSUE
ROCE | CIPLA | Mar 2020 | Computed=75.06 | Source=22.80 | Difference=52.26 | Category=FORMULA_DISCREPANCY
ROCE | CIPLA | Mar 2021 | Computed=73.40 | Source=22.80 | Difference=50.60 | Category=FORMULA_DISCREPANCY
ROCE | CIPLA | Mar 2022 | Computed=78.70 | Source=22.80 | Difference=55.90 | Category=FORMULA_DISCREPANCY
ROCE | CIPLA | Mar 2023 | Computed=73.31 | Source=22.80 | Difference=50.51 | Category=FORMULA_DISCREPANCY
ROCE | CIPLA | Mar 2024 | Computed=71.55 | Source=22.80 | Difference=48.75 | Category=FORMULA_DISCREPANCY
ROE | COALINDIA | Mar 2013 | Computed=35.81 | Source=52.00 | Difference=16.19 | Category=DATA_SOURCE_ISSUE
ROCE | COALINDIA | Mar 2013 | Computed=100.93 | Source=63.60 | Difference=37.33 | Category=FORMULA_DISCREPANCY
ROE | COALINDIA | Mar 2014 | Computed=35.64 | Source=52.00 | Difference=16.36 | Category=DATA_SOURCE_ISSUE
ROCE | COALINDIA | Mar 2014 | Computed=124.15 | Source=63.60 | Difference=60.55 | Category=FORMULA_DISCREPANCY
ROE | COALINDIA | Mar 2015 | Computed=34.02 | Source=52.00 | Difference=17.98 | Category=DATA_SOURCE_ISSUE
ROCE | COALINDIA | Mar 2015 | Computed=139.35 | Source=63.60 | Difference=75.75 | Category=FORMULA_DISCREPANCY
ROE | COALINDIA | Mar 2016 | Computed=40.96 | Source=52.00 | Difference=11.04 | Category=DATA_SOURCE_ISSUE
ROCE | COALINDIA | Mar 2016 | Computed=164.22 | Source=63.60 | Difference=100.62 | Category=FORMULA_DISCREPANCY
ROE | COALINDIA | Mar 2017 | Computed=37.85 | Source=52.00 | Difference=14.15 | Category=DATA_SOURCE_ISSUE
ROCE | COALINDIA | Mar 2017 | Computed=238.75 | Source=63.60 | Difference=175.15 | Category=FORMULA_DISCREPANCY
ROE | COALINDIA | Mar 2018 | Computed=34.88 | Source=52.00 | Difference=17.12 | Category=DATA_SOURCE_ISSUE
ROCE | COALINDIA | Mar 2018 | Computed=349.82 | Source=63.60 | Difference=286.22 | Category=FORMULA_DISCREPANCY
ROE | COALINDIA | Mar 2019 | Computed=66.01 | Source=52.00 | Difference=14.01 | Category=DATA_SOURCE_ISSUE
ROCE | COALINDIA | Mar 2019 | Computed=260.26 | Source=63.60 | Difference=196.66 | Category=FORMULA_DISCREPANCY
ROCE | COALINDIA | Mar 2020 | Computed=193.11 | Source=63.60 | Difference=129.51 | Category=FORMULA_DISCREPANCY
ROE | COALINDIA | Mar 2021 | Computed=34.78 | Source=52.00 | Difference=17.22 | Category=DATA_SOURCE_ISSUE
ROCE | COALINDIA | Mar 2021 | Computed=168.43 | Source=63.60 | Difference=104.83 | Category=FORMULA_DISCREPANCY
ROE | COALINDIA | Mar 2022 | Computed=40.28 | Source=52.00 | Difference=11.72 | Category=DATA_SOURCE_ISSUE
ROCE | COALINDIA | Mar 2022 | Computed=182.22 | Source=63.60 | Difference=118.62 | Category=FORMULA_DISCREPANCY
ROCE | COALINDIA | Mar 2023 | Computed=144.31 | Source=63.60 | Difference=80.71 | Category=FORMULA_DISCREPANCY
ROE | COALINDIA | Mar 2024 | Computed=45.17 | Source=52.00 | Difference=6.83 | Category=DATA_SOURCE_ISSUE
ROCE | COALINDIA | Mar 2024 | Computed=105.75 | Source=63.60 | Difference=42.15 | Category=FORMULA_DISCREPANCY
ROE | DABUR | Mar 2013 | Computed=36.56 | Source=19.20 | Difference=17.36 | Category=DATA_SOURCE_ISSUE
ROCE | DABUR | Mar 2013 | Computed=33.64 | Source=22.30 | Difference=11.34 | Category=FORMULA_DISCREPANCY
ROE | DABUR | Mar 2014 | Computed=34.49 | Source=19.20 | Difference=15.29 | Category=DATA_SOURCE_ISSUE
ROCE | DABUR | Mar 2014 | Computed=38.29 | Source=22.30 | Difference=15.99 | Category=FORMULA_DISCREPANCY
ROE | DABUR | Mar 2015 | Computed=31.84 | Source=19.20 | Difference=12.64 | Category=DATA_SOURCE_ISSUE
ROCE | DABUR | Mar 2015 | Computed=36.06 | Source=22.30 | Difference=13.76 | Category=FORMULA_DISCREPANCY
ROE | DABUR | Mar 2016 | Computed=30.06 | Source=19.20 | Difference=10.86 | Category=DATA_SOURCE_ISSUE
ROCE | DABUR | Mar 2016 | Computed=34.87 | Source=22.30 | Difference=12.57 | Category=FORMULA_DISCREPANCY
ROE | DABUR | Mar 2017 | Computed=26.41 | Source=19.20 | Difference=7.21 | Category=DATA_SOURCE_ISSUE
ROCE | DABUR | Mar 2017 | Computed=31.05 | Source=22.30 | Difference=8.75 | Category=FORMULA_DISCREPANCY
ROCE | DABUR | Mar 2018 | Computed=28.72 | Source=22.30 | Difference=6.42 | Category=FORMULA_DISCREPANCY
ROE | DABUR | Mar 2019 | Computed=25.67 | Source=19.20 | Difference=6.47 | Category=DATA_SOURCE_ISSUE
ROCE | DABUR | Mar 2019 | Computed=30.99 | Source=22.30 | Difference=8.69 | Category=FORMULA_DISCREPANCY
ROCE | DABUR | Mar 2020 | Computed=28.02 | Source=22.30 | Difference=5.72 | Category=FORMULA_DISCREPANCY
ROCE | DABUR | Mar 2021 | Computed=28.47 | Source=22.30 | Difference=6.17 | Category=FORMULA_DISCREPANCY
ROE | DIVISLAB | Mar 2013 | Computed=24.07 | Source=12.20 | Difference=11.87 | Category=DATA_SOURCE_ISSUE
ROCE | DIVISLAB | Mar 2013 | Computed=33.98 | Source=16.50 | Difference=17.48 | Category=FORMULA_DISCREPANCY
ROE | DIVISLAB | Mar 2014 | Computed=26.08 | Source=12.20 | Difference=13.88 | Category=DATA_SOURCE_ISSUE
ROCE | DIVISLAB | Mar 2014 | Computed=36.42 | Source=16.50 | Difference=19.92 | Category=FORMULA_DISCREPANCY
ROE | DIVISLAB | Mar 2015 | Computed=24.37 | Source=12.20 | Difference=12.17 | Category=DATA_SOURCE_ISSUE
ROCE | DIVISLAB | Mar 2015 | Computed=34.37 | Source=16.50 | Difference=17.87 | Category=FORMULA_DISCREPANCY
ROE | DIVISLAB | Mar 2016 | Computed=26.23 | Source=12.20 | Difference=14.03 | Category=DATA_SOURCE_ISSUE
ROCE | DIVISLAB | Mar 2016 | Computed=34.97 | Source=16.50 | Difference=18.47 | Category=FORMULA_DISCREPANCY
ROE | DIVISLAB | Mar 2017 | Computed=19.79 | Source=12.20 | Difference=7.59 | Category=DATA_SOURCE_ISSUE
ROCE | DIVISLAB | Mar 2017 | Computed=28.22 | Source=16.50 | Difference=11.72 | Category=FORMULA_DISCREPANCY
ROCE | DIVISLAB | Mar 2018 | Computed=22.98 | Source=16.50 | Difference=6.48 | Category=FORMULA_DISCREPANCY
ROE | DIVISLAB | Mar 2019 | Computed=19.45 | Source=12.20 | Difference=7.25 | Category=DATA_SOURCE_ISSUE
ROCE | DIVISLAB | Mar 2019 | Computed=28.71 | Source=16.50 | Difference=12.21 | Category=FORMULA_DISCREPANCY
ROE | DIVISLAB | Mar 2020 | Computed=18.84 | Source=12.20 | Difference=6.64 | Category=DATA_SOURCE_ISSUE
ROCE | DIVISLAB | Mar 2020 | Computed=27.38 | Source=16.50 | Difference=10.88 | Category=FORMULA_DISCREPANCY
ROE | DIVISLAB | Mar 2021 | Computed=21.34 | Source=12.20 | Difference=9.14 | Category=DATA_SOURCE_ISSUE
ROCE | DIVISLAB | Mar 2021 | Computed=31.44 | Source=16.50 | Difference=14.94 | Category=FORMULA_DISCREPANCY
ROE | DIVISLAB | Mar 2022 | Computed=25.24 | Source=12.20 | Difference=13.04 | Category=DATA_SOURCE_ISSUE
ROCE | DIVISLAB | Mar 2022 | Computed=34.07 | Source=16.50 | Difference=17.57 | Category=FORMULA_DISCREPANCY
ROE | DLF | Mar 2015 | Computed=1.85 | Source=6.95 | Difference=5.10 | Category=DATA_SOURCE_ISSUE
ROE | DLF | Mar 2016 | Computed=1.27 | Source=6.95 | Difference=5.68 | Category=DATA_SOURCE_ISSUE
ROE | DLF | Mar 2018 | Computed=12.68 | Source=6.95 | Difference=5.73 | Category=DATA_SOURCE_ISSUE
ROCE | DLF | Mar 2018 | Computed=22.92 | Source=5.74 | Difference=17.18 | Category=FORMULA_DISCREPANCY
ROE | DLF | Mar 2020 | Computed=-1.71 | Source=6.95 | Difference=8.66 | Category=DATA_SOURCE_ISSUE
ROE | DMART | Mar 2016 | Computed=21.04 | Source=14.50 | Difference=6.54 | Category=DATA_SOURCE_ISSUE
ROCE | DMART | Mar 2016 | Computed=25.10 | Source=19.40 | Difference=5.70 | Category=FORMULA_DISCREPANCY
ROCE | DMART | Mar 2018 | Computed=28.21 | Source=19.40 | Difference=8.81 | Category=FORMULA_DISCREPANCY
ROCE | DMART | Mar 2019 | Computed=26.74 | Source=19.40 | Difference=7.34 | Category=FORMULA_DISCREPANCY
ROE | DMART | Mar 2021 | Computed=9.02 | Source=14.50 | Difference=5.48 | Category=DATA_SOURCE_ISSUE
ROE | DRREDDY | Mar 2017 | Computed=10.54 | Source=21.40 | Difference=10.86 | Category=DATA_SOURCE_ISSUE
ROCE | DRREDDY | Mar 2017 | Computed=15.39 | Source=26.50 | Difference=11.11 | Category=FORMULA_DISCREPANCY
ROE | DRREDDY | Mar 2018 | Computed=7.53 | Source=21.40 | Difference=13.87 | Category=DATA_SOURCE_ISSUE
ROCE | DRREDDY | Mar 2018 | Computed=14.20 | Source=26.50 | Difference=12.30 | Category=FORMULA_DISCREPANCY
ROE | DRREDDY | Mar 2019 | Computed=13.90 | Source=21.40 | Difference=7.50 | Category=DATA_SOURCE_ISSUE
ROCE | DRREDDY | Mar 2019 | Computed=19.92 | Source=26.50 | Difference=6.58 | Category=FORMULA_DISCREPANCY
ROE | DRREDDY | Mar 2020 | Computed=12.99 | Source=21.40 | Difference=8.41 | Category=DATA_SOURCE_ISSUE
ROCE | DRREDDY | Mar 2020 | Computed=17.67 | Source=26.50 | Difference=8.83 | Category=FORMULA_DISCREPANCY
ROE | DRREDDY | Mar 2021 | Computed=11.07 | Source=21.40 | Difference=10.33 | Category=DATA_SOURCE_ISSUE
ROCE | DRREDDY | Mar 2021 | Computed=20.36 | Source=26.50 | Difference=6.14 | Category=FORMULA_DISCREPANCY
ROE | DRREDDY | Mar 2022 | Computed=11.36 | Source=21.40 | Difference=10.04 | Category=DATA_SOURCE_ISSUE
ROCE | DRREDDY | Mar 2022 | Computed=19.13 | Source=26.50 | Difference=7.37 | Category=FORMULA_DISCREPANCY
ROCE | EICHERMOT | Dec 2012 | Computed=38.58 | Source=31.10 | Difference=7.48 | Category=FORMULA_DISCREPANCY
ROCE | EICHERMOT | Dec 2013 | Computed=37.77 | Source=31.10 | Difference=6.67 | Category=FORMULA_DISCREPANCY
ROCE | EICHERMOT | Dec 2014 | Computed=47.51 | Source=31.10 | Difference=16.41 | Category=FORMULA_DISCREPANCY
ROE | EICHERMOT | Mar 2016 | Computed=36.63 | Source=24.20 | Difference=12.43 | Category=DATA_SOURCE_ISSUE
ROCE | EICHERMOT | Mar 2016 | Computed=54.84 | Source=31.10 | Difference=23.74 | Category=FORMULA_DISCREPANCY
ROE | EICHERMOT | Mar 2017 | Computed=31.19 | Source=24.20 | Difference=6.99 | Category=DATA_SOURCE_ISSUE
ROCE | EICHERMOT | Mar 2017 | Computed=47.46 | Source=31.10 | Difference=16.36 | Category=FORMULA_DISCREPANCY
ROCE | EICHERMOT | Mar 2018 | Computed=46.58 | Source=31.10 | Difference=15.48 | Category=FORMULA_DISCREPANCY
ROCE | EICHERMOT | Mar 2019 | Computed=39.59 | Source=31.10 | Difference=8.49 | Category=FORMULA_DISCREPANCY
ROE | EICHERMOT | Mar 2020 | Computed=18.30 | Source=24.20 | Difference=5.90 | Category=DATA_SOURCE_ISSUE
ROE | EICHERMOT | Mar 2021 | Computed=11.78 | Source=24.20 | Difference=12.42 | Category=DATA_SOURCE_ISSUE
ROCE | EICHERMOT | Mar 2021 | Computed=19.43 | Source=31.10 | Difference=11.67 | Category=FORMULA_DISCREPANCY
ROE | EICHERMOT | Mar 2022 | Computed=13.30 | Source=24.20 | Difference=10.90 | Category=DATA_SOURCE_ISSUE
ROCE | EICHERMOT | Mar 2022 | Computed=21.03 | Source=31.10 | Difference=10.07 | Category=FORMULA_DISCREPANCY
ROE | GAIL | Mar 2016 | Computed=5.15 | Source=14.00 | Difference=8.85 | Category=DATA_SOURCE_ISSUE
ROE | GAIL | Mar 2017 | Computed=8.58 | Source=14.00 | Difference=5.42 | Category=DATA_SOURCE_ISSUE
ROCE | GAIL | Mar 2019 | Computed=24.17 | Source=14.70 | Difference=9.47 | Category=FORMULA_DISCREPANCY
ROE | GAIL | Mar 2020 | Computed=19.31 | Source=14.00 | Difference=5.31 | Category=DATA_SOURCE_ISSUE
ROCE | GAIL | Mar 2020 | Computed=22.82 | Source=14.70 | Difference=8.12 | Category=FORMULA_DISCREPANCY
ROE | GAIL | Mar 2022 | Computed=19.19 | Source=14.00 | Difference=5.19 | Category=DATA_SOURCE_ISSUE
ROCE | GAIL | Mar 2022 | Computed=24.66 | Source=14.70 | Difference=9.96 | Category=FORMULA_DISCREPANCY
ROE | GAIL | Mar 2023 | Computed=8.62 | Source=14.00 | Difference=5.38 | Category=DATA_SOURCE_ISSUE
ROE | GODREJCP | Mar 2013 | Computed=25.51 | Source=6.77 | Difference=18.74 | Category=DATA_SOURCE_ISSUE
ROCE | GODREJCP | Mar 2013 | Computed=20.61 | Source=26.49 | Difference=5.88 | Category=FORMULA_DISCREPANCY
ROE | GODREJCP | Mar 2014 | Computed=21.70 | Source=6.77 | Difference=14.93 | Category=DATA_SOURCE_ISSUE
ROCE | GODREJCP | Mar 2014 | Computed=20.02 | Source=26.49 | Difference=6.47 | Category=FORMULA_DISCREPANCY
ROE | GODREJCP | Mar 2015 | Computed=22.64 | Source=6.77 | Difference=15.87 | Category=DATA_SOURCE_ISSUE
ROCE | GODREJCP | Mar 2015 | Computed=20.66 | Source=26.49 | Difference=5.83 | Category=FORMULA_DISCREPANCY
ROE | GODREJCP | Mar 2016 | Computed=19.48 | Source=6.77 | Difference=12.71 | Category=DATA_SOURCE_ISSUE
ROCE | GODREJCP | Mar 2016 | Computed=19.49 | Source=26.49 | Difference=7.00 | Category=FORMULA_DISCREPANCY
ROE | GODREJCP | Mar 2017 | Computed=24.67 | Source=6.77 | Difference=17.90 | Category=DATA_SOURCE_ISSUE
ROCE | GODREJCP | Mar 2017 | Computed=21.32 | Source=26.49 | Difference=5.17 | Category=FORMULA_DISCREPANCY
ROE | GODREJCP | Mar 2018 | Computed=26.11 | Source=6.77 | Difference=19.34 | Category=DATA_SOURCE_ISSUE
ROE | GODREJCP | Mar 2019 | Computed=32.23 | Source=6.77 | Difference=25.46 | Category=DATA_SOURCE_ISSUE
ROE | GODREJCP | Mar 2020 | Computed=18.95 | Source=6.77 | Difference=12.18 | Category=DATA_SOURCE_ISSUE
ROCE | GODREJCP | Mar 2020 | Computed=19.05 | Source=26.49 | Difference=7.44 | Category=FORMULA_DISCREPANCY
ROE | GODREJCP | Mar 2021 | Computed=18.23 | Source=6.77 | Difference=11.46 | Category=DATA_SOURCE_ISSUE
ROCE | GODREJCP | Mar 2021 | Computed=21.43 | Source=26.49 | Difference=5.06 | Category=FORMULA_DISCREPANCY
ROE | GODREJCP | Mar 2022 | Computed=15.43 | Source=6.77 | Difference=8.66 | Category=DATA_SOURCE_ISSUE
ROCE | GODREJCP | Mar 2022 | Computed=18.76 | Source=26.49 | Difference=7.73 | Category=FORMULA_DISCREPANCY
ROE | GODREJCP | Mar 2023 | Computed=12.34 | Source=6.77 | Difference=5.57 | Category=DATA_SOURCE_ISSUE
ROCE | GODREJCP | Mar 2023 | Computed=17.13 | Source=26.49 | Difference=9.36 | Category=FORMULA_DISCREPANCY
ROE | GODREJCP | Mar 2024 | Computed=-4.45 | Source=6.77 | Difference=11.22 | Category=DATA_SOURCE_ISSUE
ROCE | GODREJCP | Mar 2024 | Computed=4.73 | Source=26.49 | Difference=21.76 | Category=FORMULA_DISCREPANCY
ROE | GRASIM | Mar 2013 | Computed=19.22 | Source=6.90 | Difference=12.32 | Category=DATA_SOURCE_ISSUE
ROCE | GRASIM | Mar 2013 | Computed=23.10 | Source=9.30 | Difference=13.80 | Category=FORMULA_DISCREPANCY
ROE | GRASIM | Mar 2014 | Computed=13.67 | Source=6.90 | Difference=6.77 | Category=DATA_SOURCE_ISSUE
ROCE | GRASIM | Mar 2014 | Computed=17.55 | Source=9.30 | Difference=8.25 | Category=FORMULA_DISCREPANCY
ROCE | GRASIM | Mar 2015 | Computed=16.18 | Source=9.30 | Difference=6.88 | Category=FORMULA_DISCREPANCY
ROE | GRASIM | Mar 2016 | Computed=12.60 | Source=6.90 | Difference=5.70 | Category=DATA_SOURCE_ISSUE
ROCE | GRASIM | Mar 2016 | Computed=18.11 | Source=9.30 | Difference=8.81 | Category=FORMULA_DISCREPANCY
ROE | GRASIM | Mar 2017 | Computed=13.53 | Source=6.90 | Difference=6.63 | Category=DATA_SOURCE_ISSUE
ROCE | GRASIM | Mar 2017 | Computed=20.84 | Source=9.30 | Difference=11.54 | Category=FORMULA_DISCREPANCY
ROE | GRASIM | Mar 2022 | Computed=14.80 | Source=6.90 | Difference=7.90 | Category=DATA_SOURCE_ISSUE
ROCE | GRASIM | Mar 2022 | Computed=14.68 | Source=9.30 | Difference=5.38 | Category=FORMULA_DISCREPANCY
ROE | GRASIM | Mar 2023 | Computed=14.07 | Source=6.90 | Difference=7.17 | Category=DATA_SOURCE_ISSUE
ROE | HAL | Mar 2016 | Computed=1665.00 | Source=28.90 | Difference=1636.10 | Category=DATA_SOURCE_ISSUE
ROCE | HAL | Mar 2016 | Computed=2953.62 | Source=38.90 | Difference=2914.72 | Category=FORMULA_DISCREPANCY
ROE | HAL | Mar 2017 | Computed=1966.92 | Source=28.90 | Difference=1938.02 | Category=DATA_SOURCE_ISSUE
ROCE | HAL | Mar 2017 | Computed=3170.37 | Source=38.90 | Difference=3131.47 | Category=FORMULA_DISCREPANCY
ROE | HAL | Mar 2018 | Computed=1528.46 | Source=28.90 | Difference=1499.56 | Category=DATA_SOURCE_ISSUE
ROCE | HAL | Mar 2018 | Computed=3173.68 | Source=38.90 | Difference=3134.78 | Category=FORMULA_DISCREPANCY
ROE | HAL | Mar 2019 | Computed=1763.91 | Source=28.90 | Difference=1735.01 | Category=DATA_SOURCE_ISSUE
ROCE | HAL | Mar 2019 | Computed=3507.09 | Source=38.90 | Difference=3468.19 | Category=FORMULA_DISCREPANCY
ROE | HAL | Mar 2020 | Computed=2059.42 | Source=28.90 | Difference=2030.52 | Category=DATA_SOURCE_ISSUE
